loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_facility,fst_logg
374,HD 10647,b,HD 10647 b,Radial Velocity,0,1,989.2,2.015,0.15,317.5939855,0.94,310.3328122,191.4787365,0,0,0,25.622149,-53.740833,17.34,5.52,V (Johnson),6218,1.11,1.1,14-05-2014,W. M. Keck Observatory,4.62
375,HD 106515 A,b,HD 106515 A b,Radial Velocity,0,1,3630,4.59,0.572,121.6040925,9.61,21.58916419,324.9682147,0,0,0,183.777359,-7.257327,34.12,7.972,V (Johnson),5362,0.97,1.62,14-05-2014,La Silla Observatory,4.41
376,HD 106906,b,HD 106906 b,Imaging,0,1,153.2079471,650,44.12074273,287.5292382,11,281.9465828,280.4661804,0,0,0,184.471634,-55.975525,103.33,7.797,V (Johnson),6516,1.5,59.93941096,14-05-2014,Las Campanas Observatory,174.0210622
377,HD 10697,b,HD 10697 b,Radial Velocity,0,1,1075.69,2.14,0.1043,277.2534084,6.383,230.884106,100.3524731,0,0,0,26.232603,20.083149,33.15,6.27,V (Johnson),5600,1.13,1.79,06-12-2018,W. M. Keck Observatory,3.96
378,HD 107148,b,HD 107148 b,Radial Velocity,0,1,48.056,0.269,0.05,40.20060322,0.21,130.3828819,221.3919849,0,0,0,184.806213,-3.319789,49.49,8.015,V (Johnson),5797,1.12,108.7936801,14-05-2014,W. M. Keck Observatory,4.45
379,HD 108147,b,HD 108147 b,Radial Velocity,0,1,10.8985,0.102,0.53,153.700717,0.261,315.5317036,292.7250114,0,0,0,186.44278,-64.022087,38.96,6.995,V (Johnson),6265,1.27,128.1923058,14-05-2014,La Silla Observatory,4.59
380,HD 108341,b,HD 108341 b,Radial Velocity,0,1,1129,2,0.85,28.31197742,3.5,294.4128358,318.5449385,0,0,0,186.880798,-71.422974,49.4,9.36,V (Johnson),5122,0.84,0.79,08-01-2015,La Silla Observatory,4.45
381,HD 108863,b,HD 108863 b,Radial Velocity,0,1,437.7,1.32,0.032,90.37154474,2.414,114.9734646,117.4481543,0,0,0,187.582962,21.948244,165.52,7.71,V (Johnson),4878,1.59,5.74,06-12-2018,W. M. Keck Observatory,3.07
382,HD 108874,b,HD 108874 b,Radial Velocity,0,2,394.48123,1.04,0.13,312.6783932,1.42,198.5340923,69.8033118,0,0,0,187.612015,22.879829,59.62,8.738,V (Johnson),5600,1.1,1.05,06-09-2018,W. M. Keck Observatory,4.44
383,HD 108874,c,HD 108874 c,Radial Velocity,0,2,1624,2.659,0.239,160.2425584,0.99,303.1981844,114.556456,0,0,0,187.612015,22.879829,59.62,8.738,V (Johnson),5600,1.1,1.05,14-05-2014,W. M. Keck Observatory,4.44
